Fecha y hora,pH,Temperatura (°C),Conductividad (µS/cm),Oxígeno disuelto (mg/L),Turbidez (NTU)
2025-10-29 12:53:24,5.45,25.3,80.0,0.12,0.5
2025-10-29 12:53:25,5.47,25.3,80.0,0.12,0.5
2025-10-29 12:53:26,5.46,25.3,80.0,0.12,0.5
2025-10-29 12:53:27,5.46,25.3,110.0,0.16,0.5
2025-10-29 12:53:28,5.47,25.3,80.0,0.16,0.5
2025-10-29 12:53:29,5.46,25.3,110.0,0.12,0.5
2025-10-29 12:53:30,5.45,25.3,50.0,0.12,0.5
2025-10-29 12:53:31,5.45,25.3,110.0,0.16,0.5
2025-10-29 12:53:32,5.45,25.3,110.0,0.16,0.5
2025-10-29 12:53:33,5.46,25.3,110.0,0.16,0.5
2025-10-29 12:53:34,5.48,25.3,80.0,0.08,0.5
2025-10-29 12:53:35,5.47,25.4,80.0,0.08,0.5
2025-10-29 12:53:36,5.47,25.3,80.0,0.08,0.5
2025-10-29 12:53:37,5.48,25.3,80.0,0.08,0.5
2025-10-29 12:53:38,5.47,25.3,110.0,0.08,0.5
