Fecha;Sitio;Profundidad;pH;Clorofila (µg/L);Ficocianina (µg/L);Turbidez (NTU);Oxígeno disuelto (mg/L);Temperatura (°C);Conductividad (µS/cm)
11/02/2020;Centro-Weiss G;52;7.791830923;1.082697506;0.027548342;0.368260886;6.010619128;20.8;445.4997275
11/02/2020;Centro-Weiss G;53;7.797203612;1.173434479;0.026123698;0.375573882;6.008622017;20.8;445.5
11/02/2020;Centro-Weiss G;54;7.800852117;1.328899576;0.051794728;0.391097476;5.991085053;20.8;445.5
11/02/2020;Centro-Weiss G;55;7.790519196;1.324963007;0.064330108;0.393611027;5.979398299;20.8;445.5030822
11/02/2020;Centro-Weiss G;56;7.770603061;1.330030928;0.028872922;0.412917703;5.959577069;20.8;445.455167
11/02/2020;Centro-Weiss G;57;7.750316114;1.344665953;-0.006298727;0.427646369;5.939002641;20.8;445.4005737
11/02/2020;Centro-Weiss G;58;7.72191961;1.262685742;-0.003937889;0.419546019;5.937611627;20.8;445.3668262
11/02/2020;Centro-Weiss G;59;7.700063896;1.188346385;-0.011329872;0.404312975;5.937986571;20.8;445.3286994
11/02/2020;Centro-Weiss G;60;7.689785072;1.238143996;-0.026217186;0.380765792;5.744127941;20.8;445.3979681
11/02/2020;Centro-Weiss G;61;7.68155555;1.238563089;-0.033509634;0.379977875;5.515003554;20.8;445.464992
11/02/2020;Centro-Weiss G;62;7.677258702;1.090035422;-0.036321956;0.377497859;5.42040327;20.8;445.5586087
11/02/2020;Centro-Weiss G;63;7.679443895;0.985866014;-0.043616152;0.387435239;5.29206952;20.8;445.7691595
11/02/2020;Centro-Weiss G;64;7.668094957;1.051110111;-0.044973873;0.415527588;5.230901566;20.80479435;445.9158514
11/02/2020;Centro-Weiss G;65;7.650112329;1.035070064;-0.045367325;0.425536302;5.183706937;20.78645516;445.8284655
11/02/2020;Centro-Weiss G;66;7.62394063;0.84664827;-0.053055153;0.421396714;4.866239055;20.72007338;445.6288717
11/02/2020;Centro-Weiss G;67;7.582357857;0.69736052;-0.07531278;0.412712894;4.649125044;20.69375878;445.5842502
11/02/2020;Centro-Weiss G;68;7.538020592;0.663064378;-0.045152923;0.398126399;4.519466004;20.699933;445.530484
11/02/2020;Centro-Weiss G;69;7.494966096;0.675326205;-0.031303074;0.388665565;4.335928192;20.7;445.4828148
11/02/2020;Centro-Weiss G;70;7.450060488;0.67261649;-0.034695274;0.383250511;4.129604104;20.7048006;445.3826472
11/02/2020;Centro-Weiss G;71;7.409811629;0.667274027;-0.025884822;0.378589761;3.941856763;20.68833927;445.239716
11/02/2020;Centro-Weiss G;72;7.369813164;0.66681021;0.004950594;0.376674219;3.618400268;20.6221432;444.9748942
11/02/2020;Centro-Weiss G;73;7.336413202;0.643051034;0.037608856;0.373561622;3.487213894;20.59383481;444.8841995
11/02/2020;Centro-Weiss G;74;7.309665617;0.544399762;0.034556729;0.379214129;3.499285291;20.59996778;444.8728216
11/02/2020;Centro-Weiss G;75;7.285841669;0.46740691;0.025494843;0.376832407;3.242949061;20.6;444.7726616
11/02/2020;Centro-Weiss G;76;7.264575547;0.440809669;0.028638849;0.366314637;3.006899054;20.6;444.66671
11/02/2020;Centro-Weiss G;77;7.24622377;0.415677134;0.030048151;0.35989136;2.959075831;20.60268998;444.590642
11/02/2020;Centro-Weiss G;78;7.229964215;0.382958903;0.039221186;0.366426866;2.878331306;20.58512849;444.3857804
11/02/2020;Centro-Weiss G;79;7.216324114;0.374488855;0.022703306;0.384886195;2.632211632;20.52225745;443.9058794
11/02/2020;Centro-Weiss G;80;7.204741702;0.381479973;-0.04612179;0.398669908;2.286616537;20.49631295;443.3641805
11/02/2020;Centro-Weiss G;81;7.196099864;0.408474518;-0.072355574;0.379416319;2.123311187;20.50068364;443.1430511
11/02/2020;Centro-Weiss G;82;7.188570822;0.500416182;-0.074254828;0.358173219;2.030075889;20.50535889;443.1061183
11/02/2020;Centro-Weiss G;83;7.183561639;0.459305801;-0.063984214;0.352492679;1.954995499;20.4632389;443.0238953
11/02/2020;Centro-Weiss G;84;7.179067427;0.280391857;-0.042012359;0.345448007;1.864787076;20.40901479;442.9164488
